,company,name,color,type,ratings,people_review,offer_price,real_price,offer_percent
498,ZTNY,2023 New Design In-Ear Waterproof Wireless Earphon...,Black, In the Ear,3.7,606,549,3490,84
499,Aroma,"NB128 Adventure 50 Hours Playtime Fast Charging, ...",Navy Blue, In the Ear,4,20048,418,2999,86
500,Boult,"Audio YCharge with Pro+ Calling Mic, Full Charge ...",Black, In the Ear,4.1,4196,699,1999,65
501,Ubon,"Club Series CL-80 With In-Built MIic,Upto 45Hour P...",Green, In the Ear,4,23,899,2999,70
502,CIHROX,"Bluetooth Neckband 12Hrs Playback, 10mm Drivers,...",Black, In the Ear,3.9,50,499,1899,73
503,CIHYARD,CH-125 Dilbar - 30 Hours Playtime Bluetooth Nec...,Black, In the Ear,3.9,72798,449,1999,77
504,HOPPUP,GRAND With Power Bank Function & Upto 75 Hours P...,Black, True Wireless,3.4,63,599,2999,80
505,TEQIR,Bluetooth Neckband Bluetooth Headset Immersive Au...,Black, In the Ear,3.8,70531,569,799,28
506,TEG,BEAST 5.2 Bluetooth Sports Bluetooth Headset,White, True Wireless,4.1,327645,499,2999,83
507,Wings,"Phantom 110 Neckband, LED , 20 hrs Playtime, 50ms...",Black, In the Ear,4.1,1804,899,1999,55
508,flying,india New Edition TWS M19 Gaming Earbuds Bluetoo...,Black, True Wireless,3.7,324,586,2199,73
509,U&i,Burn Series Single Ear Business Headset Bluetooth H...,Black, In the Ear,3.9,3975,449,1699,73
510,Aroma,NB137 Nexon 16 Hours* Playtime Deep Bass True Wir...,White  Silver, True Wireless,3.7,3128,499,1499,66
511,MEDIAL,"SENSO V 1.0 TWS EARBUDS, Bass+ 20 H Playtime & F...",Black, True Wireless,3.1,51,499,1299,61
512,HOPPUP,GRAND With Power Bank Function & Upto 75 Hours P...,Green, True Wireless,3.9,72798,599,2999,80
513,Syska,SonicBuds X2 Bluetooth Headset,Elegant Black, True Wireless,4,566,899,2999,70
514,Aroma,NB140 Captain 24 Hours* Playtime | Deep Bass | Ma...,Dark Blue, True Wireless,3.6,6182,546,1999,72
515,Wings,"Phantom Pro earbuds with Low latency Game mode, 4...",White, True Wireless,4,33193,1299,5499,76
516,Ucool,Beast 100 Hours Playtime Bluetooth Wireless Neckb...,Navy Blue, In the Ear,3.8,1801,649,2999,78
517,boAt,Rockerz 255 Arc with ENx Technology and upto 30 Ho...,Fern Green, In the Ear,4.1,8135,1299,2990,56
518,Boult,"Audio YCharge with Pro+ Calling Mic, Full Charge ...",Blue, In the Ear,4,20048,699,1999,65
